,ind_id,race_id,municipality,csd,province,first_name,last_name,party,votes_received,total_votes,incumbent,elected,acclaimed,gender,election_year,election_date,position,ward,source
31,,MedicineHat2021councillor99,Medicine Hat,,AB,Phil,Turnbull,Independent,4253.0,115735.0,1,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
32,,MedicineHat2021councillor99,Medicine Hat,,AB,Charles Chuck,Turner,Independent,771.0,115735.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
33,,MedicineHat2021councillor99,Medicine Hat,,AB,Jim,Turner,Independent,371.0,115735.0,1,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
34,,MedicineHat2021councillor99,Medicine Hat,,AB,Alison,Van Dyke,Independent,7225.0,115735.0,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
35,,MedicineHat2021councillor99,Medicine Hat,,AB,Brian,Varga,Independent,4403.0,115735.0,1,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
36,,MedicineHat2021councillor99,Medicine Hat,,AB,Brian,Webster,Independent,3722.0,115735.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
37,,MedicineHat2021councillor99,Medicine Hat,,AB,Justin,Wright,Independent,2611.0,115735.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
38,,LethbrideCounty2021councillor1,Lethbridge County,,AB,Lorne,Hickey,Independent,,,1,1,1,M,2021,2021-10-18T00:00:00Z,councillor,1.0,Canadian Municipal Barometer
39,,LethbrideCounty2021councillor2,Lethbridge County,,AB,Tory,Campbell,Independent,,,1,1,1,M,2021,2021-10-18T00:00:00Z,councillor,2.0,Canadian Municipal Barometer
40,,LethbrideCounty2021councillor3,Lethbridge County,,AB,Robert,Horvath,Independent,58.0,234.0,1,0,0,M,2021,2021-10-18T00:00:00Z,councillor,3.0,Canadian Municipal Barometer
